Poste,Coord
1,"-36.959120273, -69.419931888"
2,"-36.959433662, -69.419553082"
3,"-36.9597968, -69.41918427"
4,"-36.960111051, -69.418818397"
5,"-36.960445704, -69.418432808"
6,"-36.960809264, -69.41802997"
7,"-36.961163194, -69.417637406"
8,"-36.961450223, -69.41731618"
9,"-36.96176675, -69.416991749"
10,"-36.962492077, -69.416187714"
11,"-36.963270761, -69.415660933"
12,"-36.963694032, -69.415476165"
13,"-36.964109618, -69.41529417"
14,"-36.964513004, -69.415111887"
15,"-36.964969135, -69.414903435"
16,"-36.965229277, -69.414493038"
17,"-36.965497764, -69.414047274"
18,"-36.958759242, -69.420303541"
19,"-36.958378082, -69.420730357"
20,"-36.957904268, -69.421079889"
21,"-36.957650342, -69.421546963"
22,"-36.957452635, -69.42212537"
23,"-36.957187437, -69.422599991"
24,"-36.956966861, -69.423186705"
25,"-36.95673754, -69.423767933"
26,"-36.956267863, -69.424916626"
27,"-36.956193122, -69.42560587"
28,"-36.956116128, -69.426273854"
29,"-36.956033555, -69.426952933"
30,"-36.955917704, -69.427452618"
31,"-36.955800879, -69.427912021"
32,"-36.955683406, -69.428386824"
33,"-36.955557212, -69.428864187"
34,"-36.955252243, -69.429143802"
35,"-36.954946367, -69.429422097"
36,"-36.954644986, -69.429693915"
37,"-36.954340238, -69.429973071"
38,"-36.954037027, -69.430247399"
39,"-36.953648489, -69.430599083"
40,"-36.9534042, -69.430815022"
